episode,score
248,0.0
249,0.0
250,4.0
251,0.0
252,0.0
253,0.0
254,2.0
255,0.0
256,0.0
257,0.0
258,1.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,2.0
265,0.0
266,0.0
267,0.0
268,0.0
269,2.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,1.0
299,0.0
300,0.0
301,0.0
302,0.0
303,2.0
304,0.0
305,0.0
306,0.0
307,2.0
308,2.0
309,0.0
310,1.0
311,0.0
312,0.0
313,0.0
314,3.0
315,1.0
316,1.0
317,0.0
318,1.0
319,1.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,1.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,3.0
337,1.0
338,1.0
339,0.0
340,0.0
341,2.0
342,0.0
343,1.0
344,0.0
345,0.0
346,4.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,1.0
353,0.0
354,1.0
355,0.0
356,0.0
357,1.0
358,0.0
359,2.0
360,0.0
361,0.0
362,0.0
363,0.0
364,1.0
365,1.0
366,1.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,2.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,1.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,1.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,1.0
397,0.0
398,0.0
399,0.0
400,0.0
401,2.0
402,0.0
403,1.0
404,0.0
405,0.0
406,1.0
407,0.0
408,0.0
409,0.0
410,1.0
411,0.0
412,0.0
413,0.0
414,0.0
415,1.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,1.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,2.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,2.0
438,0.0
439,0.0
440,0.0
441,1.0
442,0.0
443,0.0
444,1.0
445,0.0
446,0.0
447,1.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,1.0
455,0.0
456,0.0
457,0.0
458,0.0
459,1.0
460,0.0
461,1.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,1.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,1.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,1.0
493,1.0
494,0.0
495,0.0
496,2.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,1.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,1.0
519,0.0
520,0.0
521,2.0
522,0.0
523,0.0
524,0.0
525,2.0
526,0.0
527,0.0
528,0.0
529,0.0
530,1.0
531,0.0
532,0.0
533,0.0
534,2.0
535,0.0
536,1.0
537,0.0
538,2.0
539,1.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,1.0
558,0.0
559,0.0
560,0.0
561,2.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,1.0
569,0.0
570,1.0
571,0.0
572,0.0
573,0.0
574,2.0
575,0.0
576,1.0
577,1.0
578,2.0
579,1.0
580,1.0
581,0.0
582,3.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,3.0
592,1.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,1.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,2.0
612,0.0
613,0.0
614,1.0
615,0.0
616,0.0
617,0.0
618,0.0
619,1.0
620,3.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,1.0
627,0.0
628,0.0
629,0.0
630,1.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,1.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,1.0
651,0.0
652,2.0
653,0.0
654,0.0
655,1.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,1.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,1.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,1.0
703,1.0
704,0.0
705,0.0
706,0.0
707,0.0
708,1.0
709,1.0
710,0.0
711,0.0
712,0.0
713,0.0
714,1.0
715,1.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,1.0
725,1.0
726,0.0
727,2.0
728,0.0
729,2.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,2.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,1.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,2.0
760,0.0
761,1.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,3.0
769,0.0
770,4.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,2.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,2.0
786,2.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,2.0
806,0.0
807,0.0
808,2.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,1.0
818,0.0
819,1.0
820,0.0
821,0.0
822,2.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,2.0
838,0.0
839,0.0
840,0.0
841,0.0
842,2.0
843,1.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,1.0
856,0.0
857,2.0
858,1.0
859,0.0
860,1.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,1.0
871,0.0
872,0.0
873,1.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,2.0
883,2.0
884,0.0
885,2.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,1.0
903,0.0
904,0.0
905,1.0
906,0.0
907,0.0
908,0.0
909,2.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,2.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,1.0
923,0.0
924,0.0
925,0.0
926,2.0
927,0.0
928,2.0
929,0.0
930,1.0
931,1.0
932,2.0
933,0.0
934,1.0
935,2.0
936,3.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,2.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,1.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,1.0
975,0.0
976,2.0
977,0.0
978,0.0
979,0.0
980,0.0
981,1.0
982,0.0
983,1.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,1.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,4.0
1001,2.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,2.0
1018,1.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,1.0
1032,1.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,2.0
1050,1.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,2.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,2.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,2.0
1075,1.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,1.0
1081,0.0
1082,0.0
1083,0.0
1084,1.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,1.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,1.0
1111,1.0
1112,0.0
1113,0.0
1114,1.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,2.0
1122,0.0
1123,2.0
1124,0.0
1125,2.0
1126,2.0
1127,0.0
1128,1.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,2.0
1136,0.0
1137,1.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,2.0
1143,0.0
1144,0.0
1145,0.0
1146,1.0
1147,0.0
1148,0.0
1149,1.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,1.0
1161,0.0
1162,0.0
1163,2.0
1164,0.0
1165,0.0
1166,0.0
1167,1.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,1.0
1173,0.0
1174,1.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,2.0
1188,2.0
1189,1.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,2.0
1195,0.0
1196,1.0
1197,1.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,2.0
1208,1.0
1209,0.0
1210,1.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,1.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,1.0
1227,0.0
1228,2.0
1229,3.0
1230,0.0
1231,0.0
1232,2.0
1233,0.0
1234,1.0
1235,1.0
1236,2.0
1237,0.0
1238,0.0
1239,1.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,2.0
1257,0.0
1258,1.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,1.0
1270,3.0
1271,0.0
1272,1.0
1273,0.0
1274,0.0
1275,1.0
1276,0.0
1277,0.0
1278,0.0
1279,1.0
1280,0.0
1281,0.0
1282,1.0
1283,0.0
1284,0.0
1285,1.0
1286,1.0
1287,1.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,1.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,1.0
1303,0.0
1304,0.0
1305,0.0
1306,1.0
1307,0.0
1308,2.0
1309,1.0
1310,0.0
1311,0.0
1312,0.0
1313,1.0
1314,0.0
1315,0.0
1316,1.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,1.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,1.0
1328,2.0
1329,0.0
1330,0.0
1331,0.0
1332,2.0
1333,0.0
1334,0.0
1335,0.0
1336,1.0
1337,1.0
1338,0.0
1339,0.0
1340,0.0
1341,2.0
1342,1.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,2.0
1348,2.0
1349,0.0
1350,1.0
1351,0.0
1352,1.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,2.0
1364,1.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,2.0
1380,0.0
1381,1.0
1382,0.0
1383,1.0
1384,0.0
1385,0.0
1386,1.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,1.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,1.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,2.0
1404,2.0
1405,0.0
1406,0.0
1407,1.0
1408,1.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,1.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,1.0
1428,2.0
1429,2.0
1430,0.0
1431,1.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,1.0
1437,2.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,1.0
1445,0.0
1446,2.0
1447,0.0
1448,0.0
1449,0.0
1450,2.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,1.0
1459,0.0
1460,0.0
1461,1.0
1462,0.0
1463,0.0
1464,1.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,1.0
1474,1.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,1.0
1480,0.0
1481,0.0
1482,1.0
1483,1.0
1484,1.0
1485,1.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.0
1502,2.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,1.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,1.0
1513,0.0
1514,0.0
1515,1.0
1516,0.0
1517,0.0
1518,0.0
1519,2.0
1520,1.0
1521,0.0
1522,0.0
1523,0.0
1524,2.0
1525,0.0
1526,2.0
1527,0.0
1528,0.0
1529,0.0
1530,1.0
1531,1.0
1532,1.0
1533,0.0
1534,0.0
1535,1.0
1536,2.0
1537,0.0
1538,1.0
1539,0.0
1540,0.0
1541,3.0
1542,0.0
1543,0.0
1544,0.0
1545,1.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,1.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,1.0
1571,0.0
1572,1.0
1573,1.0
1574,0.0
1575,1.0
1576,0.0
1577,2.0
1578,0.0
1579,1.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,2.0
1588,1.0
1589,0.0
1590,0.0
1591,2.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,2.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,2.0
1605,0.0
1606,1.0
1607,2.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,1.0
1626,1.0
1627,0.0
1628,2.0
1629,1.0
1630,0.0
1631,0.0
1632,0.0
1633,2.0
1634,1.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,2.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,1.0
1651,0.0
1652,0.0
1653,1.0
1654,0.0
1655,1.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,1.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,3.0
1681,2.0
1682,0.0
1683,0.0
1684,0.0
1685,1.0
1686,0.0
1687,3.0
1688,0.0
1689,0.0
1690,1.0
1691,2.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,1.0
1702,2.0
1703,0.0
1704,1.0
1705,0.0
1706,2.0
1707,0.0
1708,0.0
1709,0.0
1710,2.0
1711,0.0
1712,1.0
1713,2.0
1714,1.0
1715,0.0
1716,0.0
1717,1.0
1718,2.0
1719,2.0
1720,0.0
1721,1.0
1722,1.0
1723,2.0
1724,0.0
1725,2.0
1726,0.0
1727,1.0
1728,0.0
1729,2.0
1730,0.0
1731,0.0
1732,0.0
1733,1.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,1.0
1739,0.0
1740,0.0
1741,0.0
1742,2.0
1743,2.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,1.0
1749,1.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,1.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,3.0
1776,0.0
1777,0.0
1778,1.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,2.0
1787,2.0
1788,0.0
1789,0.0
1790,0.0
1791,2.0
1792,0.0
1793,0.0
1794,1.0
1795,2.0
1796,0.0
1797,0.0
1798,0.0
1799,2.0
1800,2.0
1801,0.0
1802,0.0
1803,0.0
1804,1.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,1.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,1.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,1.0
1830,2.0
1831,0.0
1832,0.0
1833,2.0
1834,1.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,2.0
1847,0.0
1848,0.0
1849,0.0
1850,1.0
1851,1.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,1.0
1861,0.0
1862,0.0
1863,0.0
1864,1.0
1865,0.0
1866,0.0
1867,1.0
1868,0.0
1869,0.0
1870,1.0
1871,2.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,1.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,2.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,1.0
1893,0.0
1894,1.0
1895,2.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,1.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,2.0
1908,0.0
1909,0.0
1910,0.0
1911,1.0
1912,0.0
1913,2.0
1914,0.0
1915,0.0
1916,0.0
1917,2.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,1.0
1926,0.0
1927,0.0
1928,0.0
1929,2.0
1930,3.0
1931,0.0
1932,0.0
1933,0.0
1934,1.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,2.0
1942,0.0
1943,2.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,2.0
1962,0.0
1963,2.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,2.0
1972,0.0
1973,0.0
1974,2.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,2.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,1.0
1986,1.0
1987,0.0
1988,0.0
1989,1.0
1990,2.0
1991,0.0
1992,1.0
1993,0.0
1994,1.0
1995,2.0
1996,1.0
1997,0.0
1998,2.0
1999,2.0
2000,1.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,2.0
2009,0.0
2010,2.0
2011,0.0
2012,0.0
2013,0.0
2014,2.0
2015,2.0
2016,2.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,2.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,2.0
2029,2.0
2030,2.0
2031,0.0
2032,0.0
2033,0.0
2034,2.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,2.0
2045,0.0
2046,2.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,2.0
2055,0.0
2056,0.0
2057,0.0
2058,1.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,2.0
2065,0.0
2066,0.0
2067,2.0
2068,1.0
2069,0.0
2070,0.0
2071,2.0
2072,0.0
2073,2.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,2.0
2081,2.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,2.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,2.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,1.0
2107,0.0
2108,0.0
2109,0.0
2110,2.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,2.0
2117,2.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,2.0
2135,0.0
2136,0.0
2137,0.0
2138,1.0
2139,0.0
2140,0.0
2141,0.0
